0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:30:29 +0100] "GET /app/simulation/simulation.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:30:29 +0100] "GET /app/devtools/runs/runs.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:30:29 +0100] "GET /app/devtools/config/config.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:30:29 +0100] "GET /app/devtools/statistics/statistics.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/ HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/js/jquery.min.js HTTP/1.1" 200 95933
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/css/itf.css HTTP/1.1" 200 9957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/js/jquery.fs.dropper.min.js HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/js/angular-resource.min.js HTTP/1.1" 200 3593
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/js/angular.min.js HTTP/1.1" 200 126160
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/js/angular-flash.js HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/js/angular-ui-router.min.js HTTP/1.1" 200 29869
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/parameters/parameters.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/app.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/models/models.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/profiles/profiles.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/weatherstations/weatherstations.js HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/simulation/simulation.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/devtools/config/config.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/devtools/runs/runs.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/app/devtools/statistics/statistics.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:31:07 +0100] "GET /location/assets/img/ajax-loader.gif HTTP/1.1" 200 1924
